,Country(Entity),Year,Code,Rate: Schizophrenia,Rate: Depressive disorders,Rate: Anxiety disorders,Rate: Bipolar disorders,Rate: Eating disorders,DALYs: Schizophrenia,DALYs: Depressive disorders,DALYs: Anxiety disorders,DALYs: Bipolar disorder,DALYs: Eating disorders,Country,cluster
132,North Korea,2019,PRK,0.26126185,2.6769247,3.61212,0.18194291,0.06607657,170.51378,401.11148,348.51056,39.635036,14.495507,North Korea,pink
133,North Macedonia,2019,MKD,0.28765607,2.570906,3.5915322,0.5418609,0.14246428,185.06987,406.8021,343.77505,117.39422,30.507004,North Macedonia,pink
134,Northern Mariana Islands,2019,MNP,0.31241596,2.780081,4.0044084,0.28020623,0.15098754,201.0392,424.8915,383.37122,60.414482,32.328724,Northern Mariana Islands,pink
135,Norway,2019,NOR,0.28272113,3.2382026,6.7358413,0.8286233,0.47473136,179.96977,552.05084,644.0999,177.81323,101.13806,Norway,dark purple
136,Oman,2019,OMN,0.2642391,3.962998,4.61154,0.68607295,0.26507118,170.40915,707.796,444.1965,148.78291,56.599567,Oman,dark purple
137,Pakistan,2019,PAK,0.27888608,3.9425256,3.474194,0.38789725,0.12147353,177.38658,678.266,328.23407,82.95703,25.903376,Pakistan,dark purple
138,Palau,2019,PLW,0.29782072,3.089023,3.9466903,0.2698488,0.11985811,190.21106,488.6608,376.1202,57.847576,25.642654,Palau,pink
139,Palestine,2019,PSE,0.24819995,6.1989517,5.5458045,0.7907242,0.15811732,157.26195,1168.6812,529.1111,169.31648,33.45399,Palestine,purple
140,Panama,2019,PAN,0.28811285,2.9369144,3.6566825,0.8495454,0.28251824,185.10315,510.9937,350.81192,184.08081,60.87169,Panama,pink
141,Papua New Guinea,2019,PNG,0.27093467,3.072686,3.995107,0.263657,0.08146171,172.1301,481.89618,378.75336,56.421364,17.438366,Papua New Guinea,pink
142,Paraguay,2019,PRY,0.2778201,3.6945765,6.304892,1.0898001,0.21759573,178.02931,663.8952,600.9803,235.76422,47.34677,Paraguay,dark purple
143,Peru,2019,PER,0.27953792,2.2116694,5.551791,0.91938907,0.29595372,180.57603,355.2181,533.3798,200.12778,63.22947,Peru,pink
144,Philippines,2019,PHL,0.29213402,2.779254,4.563437,0.3369464,0.10456553,187.79942,424.69357,435.027,72.497185,22.555529,Philippines,pink
145,Poland,2019,POL,0.2945265,2.2779574,3.082497,0.5506919,0.18609495,189.29773,349.13345,294.93384,119.17852,40.44478,Poland,pink
146,Portugal,2019,PRT,0.26907453,4.3940663,8.02761,0.87302935,0.42184258,171.31992,787.1518,767.6767,187.63242,89.29479,Portugal,dark purple
147,Puerto Rico,2019,PRI,0.29279828,2.8828056,4.442561,0.94706076,0.310856,187.82295,493.66272,425.1364,205.10939,66.136925,Puerto Rico,pink
148,Qatar,2019,QAT,0.28495243,3.9513783,4.26387,0.7445955,0.3464426,182.49683,708.3772,410.7429,161.1792,74.01693,Qatar,dark purple
149,Romania,2019,ROU,0.28902072,2.6501622,3.2856169,0.6372142,0.16204906,186.16963,424.43875,314.76346,138.33473,34.887188,Romania,pink
150,Russia,2019,RUS,0.281813,3.0799155,3.1336958,0.51406276,0.16156821,180.30907,513.0767,299.18607,110.7597,34.798225,Russia,pink
151,Rwanda,2019,RWA,0.20999436,5.0970206,3.6533618,0.58875066,0.09405708,133.44463,894.7885,347.41547,126.66572,20.132242,Rwanda,purple
152,Saint Kitts and Nevis,2019,KNA,0.28408948,3.9269922,4.308869,0.90990686,0.28756824,181.9656,711.2915,411.93716,197.0199,61.260265,Saint Kitts and Nevis,dark purple
153,Saint Lucia,2019,LCA,0.27692154,3.3162744,4.307126,0.92425954,0.21924117,177.00368,582.3665,410.60846,199.72354,46.612297,Saint Lucia,dark purple
154,Saint Vincent and the Grenadines,2019,VCT,0.2742307,3.3676143,4.2993255,0.9090553,0.21304461,175.40672,594.3808,410.277,196.48335,45.330963,Saint Vincent and the Grenadines,dark purple
155,Samoa,2019,WSM,0.2866452,2.8027563,4.027854,0.2748158,0.09448495,184.0594,428.02985,384.68683,59.11048,20.330866,Samoa,pink
156,San Marino,2019,SMR,0.28010872,4.0918827,5.542622,0.9189005,0.50515896,178.34587,726.7098,531.01685,197.6637,106.85454,San Marino,dark purple
157,Sao Tome and Principe,2019,STP,0.22281662,3.7094643,3.0837884,0.56482846,0.11107093,143.34612,620.8863,296.67783,122.307,23.882172,Sao Tome and Principe,pink
158,Saudi Arabia,2019,SAU,0.2628555,4.216069,4.5544286,0.7622446,0.27899438,167.77563,748.7056,437.261,164.40778,59.767307,Saudi Arabia,dark purple
159,Senegal,2019,SEN,0.21622801,4.0294,2.8934357,0.55274326,0.10354699,138.8746,683.3914,277.27914,119.264915,22.138414,Senegal,purple
160,Serbia,2019,SRB,0.28505,2.814907,3.33539,0.540287,0.14359924,183.18143,456.63318,319.0647,116.932556,30.882065,Serbia,pink
161,Seychelles,2019,SYC,0.31363437,2.644615,3.7375588,0.3341308,0.1512988,202.38803,396.9893,357.41205,72.18231,32.633553,Seychelles,pink
162,Sierra Leone,2019,SLE,0.20804136,4.392157,3.6633224,0.53831226,0.08656057,132.89511,760.3615,350.64008,116.09445,18.56576,Sierra Leone,purple
163,Singapore,2019,SGP,0.3191951,2.0081315,2.7080863,0.7197487,0.453674,208.19023,355.21646,262.66132,157.69836,97.324684,Singapore,pink
164,Slovakia,2019,SVK,0.29567876,2.695262,3.4256656,0.54230446,0.18270175,189.754,432.43103,327.40146,117.38398,39.07842,Slovakia,pink
165,Slovenia,2019,SVN,0.2995073,3.1152232,3.3891728,0.5467665,0.1849328,192.32123,519.806,324.23,118.329994,39.521275,Slovenia,pink
166,Solomon Islands,2019,SLB,0.25524026,3.0039446,4.0285625,0.2548458,0.0693035,163.1519,468.57394,383.9438,54.66483,14.89786,Solomon Islands,pink
167,Somalia,2019,SOM,0.18841599,4.84665,3.2728631,0.5812081,0.045336246,120.177605,842.24835,310.7463,125.096146,9.833867,Somalia,purple
